"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2015";"2016";"2017";"2018";"2019";"2020" 
"01 Dronningen "; 78,4; 79,5; 81,2; 81,2; 81,2; 81,2
"011 Statsydelse "; 78,4; 79,5; 81,2; 81,2; 81,2; 81,2
"0111 Statsydelse "; 78,4; 79,5; 81,2; 81,2; 81,2; 81,2
"011101 Statsydelse "; 78,4; 79,5; 81,2; 81,2; 81,2; 81,2
"01110110 Almindelig virksomhed "; 78,4; 79,5; 81,2; 81,2; 81,2; 81,2
"02 Medlemmer af det kongelige hus m.fl. "; 26,7; 27,0; 27,6; 27,6; 27,6; 27,6
"021 Årpenge mv. "; 26,7; 27,0; 27,6; 27,6; 27,6; 27,6
"0211 Årpenge mv. "; 26,7; 27,0; 27,6; 27,6; 27,6; 27,6
"021101 Årpenge mv. "; 26,7; 27,0; 27,6; 27,6; 27,6; 27,6
"02110110 Almindelig virksomhed "; 26,7; 27,0; 27,6; 27,6; 27,6; 27,6
"03 Folketinget "; 1098,1; 1026,2; 1064,7; 1065,5; 1065,2; 1064,9
"031 Udgifter ved Folketinget "; 751,7; 672,1; 679,9; 683,6; 683,6; 683,8
"0311 Folketinget "; 751,7; 672,1; 679,9; 683,6; 683,6; 683,8
"031101 Folketinget "; 383,7; 404,4; 404,3; 408,0; 408,0; 408,2
"03110110 Almindelig virksomhed "; 364,5; 371,8; 371,3; 375,0; 375,0; 375,2
"03110130 Udvalgsarbejde "; 6,1; 16,3; 16,4; 16,6; 16,6; 16,6
"03110140 Interparlamentariske forsamlinger "; 13,0; 16,3; 16,6; 16,4; 16,4; 16,4
"031103 Folketingets medlemmer "; 294,3; 264,0; 271,8; 271,8; 271,8; 271,8
"03110310 Folketingsvederlag og boliggodtgørelse "; 147,9; 130,5; 132,0; 132,0; 132,0; 132,0
"03110320 Befordringsudgifter "; 12,0; 11,4; 11,5; 11,5; 11,5; 11,5
"03110330 Folketingsgruppestøtte "; 134,5; 122,1; 128,3; 128,3; 128,3; 128,3
"031104 Fhv folketingsmedlemmers efterudd "; 0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"03110410 Efteruddannelse "; 0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"031105 Erhvervelse af medlemsboliger "; 71,0; 0,0; 0,0; 0,0; 0,0; 0,0
"03110510 Erhvervelse og ombygning af medlemsboliger "; 71,0; 0,0; 0,0; 0,0; 0,0; 0,0
"031106 Medlemsboliger "; 2,2; 3,7; 3,8; 3,8; 3,8; 3,8
"03110610 Drift af medlemsboliger "; 2,2; 3,7; 3,8; 3,8; 3,8; 3,8
"032 Folketingets Ombudsmand "; 63,9; 68,1; 82,6; 82,0; 82,0; 81,8
"0321 Folketingets Ombudsmand "; 63,9; 68,1; 82,6; 82,0; 82,0; 81,8
"032101 Folketingets Ombudsmand "; 63,9; 68,1; 82,6; 82,0; 82,0; 81,8
"03210110 Almindelig virksomhed "; 63,9; 68,1; 82,6; 82,0; 82,0; 81,8
"03210197 Anden tilskudsfinansieret virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"033 Statsrevisorerne og Rigsrevisionen "; 207,1; 208,7; 222,4; 220,1; 219,8; 219,5
"0331 Statsrevisorerne og Rigsrevisionen "; 207,1; 208,7; 222,4; 220,1; 219,8; 219,5
"033101 Statsrevisorerne "; 5,0; 5,2; 5,2; 5,2; 5,2; 5,2
"03310110 Almindelig virksomhed "; 5,0; 5,2; 5,2; 5,2; 5,2; 5,2
"033111 Rigsrevisionen "; 202,1; 203,5; 217,2; 214,9; 214,6; 214,3
"03311110 Almindelig virksomhed "; 202,1; 203,5; 217,2; 214,9; 214,6; 214,3
"03311190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"034 Folketingets pensioner "; 75,4; 77,3; 79,8; 79,8; 79,8; 79,8
"0341 Folketingets pensioner "; 75,4; 77,3; 79,8; 79,8; 79,8; 79,8
