Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2013-14,2014-15,2015-16,2016-17,2017-18,Source document,Source table,URL
"Dronningen","Statsydelse","Statsydelse","Statsydelse",Expense type,Appropriation type,"Almindelig virksomhed",77200,72300,79000,79000,79000,<a href="javascript:visAnm('153011101')">Se anmærkninger,link</a>,
"Medlemmer af det kongelige hus m.fl.","Årpenge mv.","Årpenge mv.","Årpenge mv.",Expense type,Appropriation type,"Almindelig virksomhed",26200,24800,26800,26800,26800,<a href="javascript:visAnm('153021101')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketinget",Expense type,Appropriation type,"Almindelig virksomhed",372700,367500,372500,372500,372000,<a href="javascript:visAnm('153031101')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketinget",Expense type,Appropriation type,"Udvalgsarbejde",11000,16000,16900,16200,16200,<a href="javascript:visAnm('153031101')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketinget",Expense type,Appropriation type,"Interparlamentariske forsamlinger",13700,15700,15800,15800,15800,<a href="javascript:visAnm('153031101')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketingets medlemmer",Expense type,Appropriation type,"Folketingsvederlag og boliggodtgørelse",144400,131200,131800,131500,131500,<a href="javascript:visAnm('153031103')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketingets medlemmer",Expense type,Appropriation type,"Befordringsudgifter",12200,11200,12200,12200,12200,<a href="javascript:visAnm('153031103')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Folketingets medlemmer",Expense type,Appropriation type,"Folketingsgruppestøtte",119900,121200,122500,122500,122500,<a href="javascript:visAnm('153031103')">Se anmærkninger,link</a>,
"Folketinget","Udgifter ved Folketinget","Folketinget","Medlemsboliger",Expense type,Appropriation type,"Drift af medlemsboliger",1700,2400,3400,3700,3700,<a href="javascript:visAnm('153031106')">Se anmærkninger,link</a>,
"Folketinget","Folketingets Ombudsmand","Folketingets Ombudsmand","Folketingets Ombudsmand",Expense type,Appropriation type,"Almindelig virksomhed",63500,65100,65100,65800,65800,<a href="javascript:visAnm('153032101')">Se anmærkninger,link</a>,
"Folketinget","Statsrevisorerne og Rigsrevisionen","Statsrevisorerne og Rigsrevisionen","Statsrevisorerne",Expense type,Appropriation type,"Almindelig virksomhed",4900,5100,5200,5200,5200,<a href="javascript:visAnm('153033101')">Se anmærkninger,link</a>,
"Folketinget","Statsrevisorerne og Rigsrevisionen","Statsrevisorerne og Rigsrevisionen","Rigsrevisionen",Expense type,Appropriation type,"Almindelig virksomhed",192200,202500,204200,203700,203700,<a href="javascript:visAnm('153033111')">Se anmærkninger,link</a>,
"Folketinget","Folketingets pensioner","Folketingets pensioner","Folketingets pensioner",Expense type,Appropriation type,"Folketingets medlemspensioner",50500,53100,53700,53700,53700,<a href="javascript:visAnm('153034101')">Se anmærkninger,link</a>,
"Folketinget","Folketingets pensioner","Folketingets pensioner","Folketingets pensioner",Expense type,Appropriation type,"Folketingets Administrations pensioner",14800,15200,15600,15600,15600,<a href="javascript:visAnm('153034101')">Se anmærkninger,link</a>,
"Folketinget","Folketingets pensioner","Folketingets pensioner","Folketingets pensioner",Expense type,Appropriation type,"Statsrevisorernes pensioner",1100,1100,1100,1100,1100,<a href="javascript:visAnm('153034101')">Se anmærkninger,link</a>,
"Folketinget","Folketingets pensioner","Folketingets pensioner","Folketingets pensioner",Expense type,Appropriation type,"Rigsrevisionens pensioner",6100,6600,6700,6700,6700,<a href="javascript:visAnm('153034101')">Se anmærkninger,link</a>,
"Statsministeriet","Fællesudgifter","Centralstyrelsen","Departementet",Expense type,Appropriation type,"Almindelig virksomhed",89700,88100,89000,88600,87900,<a href="javascript:visAnm('153051101')">Se anmærkninger,link</a>,
"Statsministeriet","Fællesudgifter","Centralstyrelsen","Tilskud",Expense type,Appropriation type,"Nordatlantens Brygge",500,500,500,500,500,<a href="javascript:visAnm('153051105')">Se anmærkninger,link</a>,
"Statsministeriet","Fællesudgifter","Grønland og Færøerne","Rigsombudsmanden i Grønland",Expense type,Appropriation type,"Almindelig virksomhed",9100,11100,10100,10000,9900,<a href="javascript:visAnm('153051203')">Se anmærkninger,link</a>,
"Statsministeriet","Fællesudgifter","Grønland og Færøerne","Rigsombudsmanden på Færøerne",Expense type,Appropriation type,"Almindelig virksomhed",10300,10700,10300,10200,10100,<a href="javascript:visAnm('153051251')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Udenrigstjenesten",Expense type,Appropriation type,"Generel udenrigspolitik",550200,503700,494300,461200,444900,<a href="javascript:visAnm('153061101')">Se anmærkninger,link</a>,
"Udenrigsministeriet","Udenrigstjenesten mv.","Udenrigstjenesten mv.","Udenrigstjenesten",Expense type,Appropriation type,"Administration af udviklingsbistand",766600,769700,771200,797800,797800,<a href="javascript:visAnm('153061101')">Se anmærkninger,link</a>,
